error,category,explanation,fix
"elif [ -f /etc/centos-release ]; then
    # IPv6 on GitHub Actions is broken, causing random network failures
    # if a CDN resolves to IPv6.
    # error: Couldn't find a setup script in /tmp/easy_install-8fl5smm_/numpy-2.2.0.tar.gz
    # Error: Process completed with exit code 1.
    pip3 install numpy h5py matplotlib --user",Python Package Installation / Build Error,"The workflow failed during Python package installation because the numpy source distribution didn’t contain a valid setup.py file, preventing easy_install from building the package successfully","Upgrade pip and setuptools before installing dependencies to ensure compatibility with the latest numpy packaging format:

python3 -m pip install --upgrade pip setuptools wheel
pip install numpy h5py matplotlib --user


Alternatively, use binary wheels instead of source builds by specifying:

pip install numpy==<stable-version> --prefer-binary"
Run npm run test <br> Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/home/runner/work/app/src/index.js',Node.js Module Resolution Error,"
Tests failed because the entry file path was incorrect or deleted during build.",Verify the path and ensure index.js exists before running tests.
Run python3 manage.py migrate <br> django.db.utils.OperationalError: no such table: auth_user,Database Migration Error,The database schema was not created before executing migrations.,Run python manage.py migrate --run-syncdb or initialize the database before CI.
Run mvn package <br> [ERROR] Failed to execute goal on project: Could not resolve dependencies for artifact…,Maven Dependency Resolution,Missing artifact in remote repository or invalid repository URL.,Add a valid repository mirror or check credentials in settings.xml.
Run pytest <br> E ModuleNotFoundError: No module named 'tests',Python Import Error,The tests module is not in the Python path.,Add PYTHONPATH=. or correct the import statement.
Run go build <br> go: cannot find main module; see 'go help modules',Go Build Configuration,Go module initialization was skipped.,Run go mod init <name> before build.
Run dotnet restore <br> error NU1301: Unable to load the service index for source https://api.nuget.org/v3/index.json,Network / NuGet Error,NuGet feed unreachable or blocked in runner environment.,Retry with --disable-parallel or configure proxy in NuGet.config.
Run docker login <br> Error saving credentials: error storing credentials - err: exit status 1,Docker Credential Store Error,Docker login failed due to missing $HOME/.docker/config.json write access.,Use --password-stdin and grant permissions to the home directory.
Run terraform plan <br> Error acquiring the state lock: ConditionalCheckFailedException,Terraform Locking Error,Another process holds the Terraform state lock.,Unlock manually with terraform force-unlock <id> or use separate workspaces.
Run gcloud app deploy <br> ERROR: (gcloud.app.deploy) Permissions denied for App Engine Admin API.,Cloud API Permission Error,The service account used by Actions lacks App Engine Admin role.,Grant the role via gcloud projects add-iam-policy-binding.
Run gradle build <br> Execution failed for task ':compileJava' > invalid source release: 21,Java Version Mismatch,Gradle used an unsupported JDK version.,Set JAVA_HOME to a matching JDK version in workflow.
Run npm run lint <br> ESLint: Parsing error: Unexpected token '?',Linting / Syntax Error,Code contains syntax unsupported by configured parser.,Update ESLint parser to support optional chaining or upgrade Node.js.
Run make test <br> make: *** [all] Error 2,Makefile Build Error,A target command failed within Makefile.,Inspect preceding lines to see the specific command exit code.
Run bundle install <br> Could not locate Gemfile,Ruby Dependency Error,Gemfile missing or in wrong directory.,Ensure Gemfile is checked out and run bundle from repo root.
Run yarn install <br> error An unexpected error occurred: EPERM: operation not permitted,File System Permission Error,Yarn cannot write to cache folder in runner.,Set YARN_CACHE_FOLDER to a writable directory.
"Run npm ci <br> npm ERR! Missing script: ""build""",NPM Script Error,The workflow calls a non-existent npm script.,"Add a ""build"" entry in package.json."
Run pytest <br> AssertionError: expected 200 but got 500,Test Assertion Failure,Application endpoint returned unexpected HTTP status.,Fix API logic or mock external services in tests.
Run aws s3 sync <br> fatal error: An error occurred (AccessDenied),AWS Permission Error,AWS credentials lack S3 write access.,Attach policy AmazonS3FullAccess to the IAM user or role.
Run clang main.c <br> fatal error: stdio.h: No such file or directory,C Compiler Toolchain Error,Missing build-essential packages on runner.,Install sudo apt install build-essential.
Run rsync -av src/ dest/ <br> rsync: command not found,Missing System Dependency,Runner image lacks rsync.,Add sudo apt install rsync before usage.
Run npm audit <br> Error: Audit endpoint requires authentication,NPM Authentication Error,Private registry requires auth token.,Add .npmrc with //registry.npmjs.org/:_authToken=${{secrets.NPM_TOKEN}}.
"Run docker compose up <br> ERROR: Version in ""./docker-compose.yml"" is unsupported",Docker Compose Version Error,Compose file uses syntax unsupported by installed Docker version.,Upgrade Docker Compose to v2+ or update the file version.
Run phpunit <br> PHP Fatal error: Uncaught Error: Class 'PDO' not found,PHP Extension Missing,pdo_mysql extension not enabled in CI container.,Install with docker-php-ext-install pdo_mysql.
Run helm upgrade <br> Error: Kubernetes cluster unreachable: no configuration has been provided,Kubernetes Config Error,Missing KUBECONFIG environment variable.,Set KUBECONFIG: ~/.kube/config with proper credentials.
Run npm run build <br> Error: ENOSPC: no space left on device,Disk Space Error,Runner storage filled during build.,Clean cache or use actions/checkout@v4 with fetch-depth: 1.
Run gradlew test <br> java.lang.OutOfMemoryError: Java heap space,Memory Overflow Error,Insufficient heap space for tests.,Increase GRADLE_OPTS=-Xmx2G.
Run pnpm install <br> ERR_PNPM_OUTDATED_LOCKFILE,Package Lock Mismatch,pnpm-lock.yaml is out of sync with package.json.,Run pnpm install --lockfile-only.
Run pytest <br> ImportError: cannot import name 'Mapping' from 'collections',Python Version Incompatibility,Old package uses Python 2 syntax under 3.10+.,Upgrade dependency to support Python 3.10+.
Run npm publish <br> 403 Forbidden – You do not have permission to publish this package.,NPM Permission Error,NPM token lacks publish rights.,Use maintainer’s token with automation scope.
Run ansible-playbook deploy.yml <br> ERROR! missing sudo password,Ansible Execution Error,Playbook requires privilege escalation without password provided.,Add --ask-become-pass or configure become: true.
Run pytest <br> E OSError: [Errno 28] No space left on device,System Resource Error,Temporary directory filled during test output.,Clean /tmp or use TMPDIR on mounted volume.
Run mvn test <br> Connection refused when connecting to localhost:3306,Service Dependency Error,MySQL container not started before tests.,Add services: block with MySQL in workflow.
Run flake8 <br> Command 'flake8' not found,Python Linting Error,Flake8 not installed in runner env.,Add pip install flake8 step.
Run rustc main.rs <br> error[E0425]: cannot find value 'x' in this scope,Rust Compilation Error,Variable used before declaration.,Fix code or initialize variable.
"Run composer install <br> [Composer\Downloader\TransportException] The ""packagist.org"" file could not be downloaded",Composer Network Error,Network timeout during package fetch.,Retry with --prefer-dist or increase timeout.
Run pytest <br> E PermissionError: [Errno 13] Permission denied: '/usr/local/lib',Permission Error,Test writes to restricted directory.,Redirect output to /tmp or run with sudo false.
Run go test <br> FAIL module/package: missing Go sum entry for dependency,Go Dependency Error,go.sum out of date.,Run go mod tidy.
Run pytest <br> E TypeError: 'NoneType' object is not subscriptable,Code Logic Error,Variable returned None unexpectedly in tests.,Add null checks before indexing.
Run docker build <br> COPY failed: file not found in build context,Dockerfile Context Error,Missing file path in build context.,Ensure file exists or adjust .dockerignore.
"Run kubectl apply -f deployment.yaml <br> error: no matches for kind ""Deployment"" in version ""v1beta1""",Kubernetes API Version Error,Deprecated API used.,Update to apps/v1 API.
Run pytest <br> ValueError: invalid literal for int() with base 10,Runtime Type Error,String could not be converted to int.,Validate inputs before casting.
Run mvn verify <br> [ERROR] java.lang.NoClassDefFoundError: javax/xml/bind/JAXBContext,Java Module Error,Removed JAXB in Java 11.,Add javax.xml.bind dependency or use Jakarta API.
Run python3 setup.py install <br> error: invalid command 'bdist_wheel',Python Packaging Error,wheel module missing.,Install pip install wheel.
Run npm run build <br> ReferenceError: process is not defined,Webpack Config Error,Browser build missing process polyfill.,Add definePlugin polyfill in webpack config.
Run pytest <br> RecursionError: maximum recursion depth exceeded,Recursion Logic Error,Infinite recursive call in code.,Add base case or limit recursion.
Run pip install -r requirements.txt <br> ERROR: Could not find a version that satisfies the requirement torch==3.0.0,Dependency Version Error,Requested version does not exist on PyPI.,Use valid torch release from pip index versions torch.
Run docker push myimage:latest <br> denied: requested access to the resource is denied,Docker Registry Auth Error,Unauthorized push to registry.,Login using docker login -u ${{secrets.USER}} -p ${{secrets.PASS}}.
"Run mvn test <br> Tests run: 20, Failures: 1, Errors: 0, Skipped: 0",Unit Test Assertion Error,One test failed assertion in Maven Surefire.,Fix failing test logic or update expected result.
"Run npm ci <br> npm ERR! enoent ENOENT: no such file or directory, open 'package-lock.json'",Missing File Error,package-lock.json missing for npm ci.,Replace with npm install or add lock file.
Run pytest <br> RuntimeError: CUDA out of memory.,GPU Resource Error,Insufficient GPU memory during test.,Reduce batch size or run on CPU.
Run python script.py <br> SyntaxError: invalid syntax,Syntax Error,Python syntax invalid (missing colon or bracket).,Fix syntax or use linter to check before run.
